model,class,mmd,wasserstein,swd,coverage,precision,nll,mode_coverage
kde,gaussian_mixture,0.00016705203781541833,0.2920001049732366,0.049039401294961926,0.9735,0.9,0.07546655679532607,1.0
kde,ring,0.0010270024602427874,0.32829320176221144,0.08391155812342779,0.9595,0.9225,1.188949549953667,
kde,two_moons,0.00012860057407393377,0.1752931685926723,0.03125135665033845,0.9475,0.92,1.6407092078605265,
kde,spiral,0.0004193972600476936,0.18837274610831056,0.046681005702986875,0.926,0.923,2.163392847716259,
kde,macro_avg,0.0004355130830449583,0.24598980535910772,0.05272083044292876,0.951625,0.916375,1.2671295405814447,1.0
gmm,gaussian_mixture,0.00013125768738020405,0.20381308547321353,0.05121287199773905,0.954,0.928,0.04235652100607894,1.0
gmm,ring,0.000825801829571926,0.21854142450132974,0.0762746998721905,0.9515,0.921,1.1844948512274747,
gmm,two_moons,0.00025936640296708724,0.13210186581817834,0.040345653806683146,0.9475,0.9345,1.625622640436588,
gmm,spiral,0.0003382563676721517,0.1888561300510965,0.0436988733116367,0.932,0.9345,2.048373951885356,
gmm,macro_avg,0.00038867057189784227,0.18582812646095453,0.05288302474706234,0.9462499999999999,0.9295,1.2252119911388744,1.0
diffusion,gaussian_mixture,0.0002456999385023195,0.2932503952215837,0.05499260794175438,0.907,0.9735,1.3053891049698554,1.0
diffusion,ring,0.0003425580455369559,0.21796150183283808,0.05326788164528086,0.915,0.9705,2.093138911324827,
diffusion,two_moons,7.200368411997005e-05,0.15030450148755997,0.029264678120682022,0.912,0.965,1.942860837775942,
diffusion,spiral,0.0004971894293384072,0.19975878777505957,0.04568126016489464,0.9215,0.9255,2.5071420079651214,
diffusion,macro_avg,0.00028936277437441316,0.21531879657926029,0.04580160696815298,0.913875,0.958625,1.9621327155089365,1.0
