model,class,mmd,wasserstein,swd,coverage,precision,nll,mode_coverage
kde,gaussian_mixture,0.0037170472011480715,0.6789911769678965,0.2803871227003435,0.954,0.8375,1.403284768299051,1.0
kde,ring,0.0038192049260388217,0.6299342034251758,0.2764364941995937,0.9455,0.8515,2.1887036667731183,
kde,two_moons,0.004996496657500016,0.5129834620527919,0.2945127664000341,0.9395,0.8365,2.0413976643078287,
kde,spiral,0.004398267085841123,0.5473629045087951,0.26998041277947593,0.931,0.8575,2.6459317620262497,
kde,macro_avg,0.004232753967632008,0.5923179367386648,0.2803291990198618,0.9425,0.84575,2.0698294653515616,1.0
gmm,gaussian_mixture,0.003208816815086557,0.5970518500482794,0.29188318857212003,0.9615,0.5995,1.7969410338604392,1.0
gmm,ring,0.004780056247937203,0.5998800911066888,0.30583190138457494,0.908,0.5995,2.5474232623901254,
gmm,two_moons,0.005586239650902325,0.6080873669249911,0.31253048439398945,0.8995,0.6095,2.3967183481744394,
gmm,spiral,0.004742149973301801,0.616333472686305,0.28529408474914486,0.857,0.673,2.8231512342468954,
gmm,macro_avg,0.004579315671806972,0.6053381951915662,0.2988849147749573,0.9065000000000001,0.620375,2.391058469667975,1.0
diffusion,gaussian_mixture,0.001907956817830403,0.711623944355753,0.27620852020784853,0.8955,0.464,2.2065372408412567,1.0
diffusion,ring,0.0035124998369542304,0.5310847835219453,0.25828954030418483,0.9465,0.8105,2.2965352223548052,
diffusion,two_moons,0.005033207444193,0.47783194646024246,0.3113258184871707,0.888,0.69,2.3957388633944556,
diffusion,spiral,0.025399997675333852,1.3440742299719448,0.7511806198699676,0.7915,0.466,3.262655237418452,
diffusion,macro_avg,0.008963415443577871,0.7661537260774715,0.39925112471729296,0.880375,0.607625,2.5403666410022425,1.0
