trial,batch_size,lr,num_steps,ema_decay,accum_steps,hidden_dim,steps_per_epoch,final_loss,mmd,coverage,precision,spiral_precision,nll
trial_0001_bs32_lr5e-04_ns200_ema0.999_acc1_hd256,32,0.0005,200,0.999,1,256,63,0.4808146777153015,0.0023657322095544386,0.919,0.827375,0.585,2.182733494777094
trial_0002_bs32_lr5e-04_ns200_ema0.999_acc1_hd384,32,0.0005,200,0.999,1,384,63,0.48025886653363703,0.0023409243118975853,0.9252500000000001,0.83725,0.599,2.167374085032229
trial_0003_bs32_lr5e-04_ns300_ema0.999_acc1_hd256,32,0.0005,300,0.999,1,256,63,0.4017550432085991,0.0014943609623599419,0.9163749999999999,0.8280000000000001,0.593,2.176693982652349
trial_0004_bs32_lr5e-04_ns300_ema0.999_acc1_hd384,32,0.0005,300,0.999,1,384,63,0.4005454692840576,0.001527166426585902,0.9177500000000001,0.8240000000000001,0.5855,2.173009078338327
trial_0005_bs32_lr5e-04_ns500_ema0.999_acc1_hd256,32,0.0005,500,0.999,1,256,63,0.31353277117013933,0.00020977914102132678,0.9149999999999999,0.823625,0.6055,2.174191513859304
trial_0006_bs32_lr5e-04_ns500_ema0.999_acc1_hd384,32,0.0005,500,0.999,1,384,63,0.31331036192178724,0.00021339246217977337,0.9261250000000001,0.827,0.6155,2.1671063633337124
trial_0007_bs32_lr1e-03_ns200_ema0.999_acc1_hd256,32,0.001,200,0.999,1,256,63,0.4787333978414536,0.00225487903658117,0.931125,0.849875,0.613,2.143594866948562
trial_0008_bs32_lr1e-03_ns200_ema0.999_acc1_hd384,32,0.001,200,0.999,1,384,63,0.47889614874124525,0.0023021851412061145,0.9293750000000001,0.8458750000000002,0.615,2.145675908095079
trial_0009_bs32_lr1e-03_ns300_ema0.999_acc1_hd256,32,0.001,300,0.999,1,256,63,0.39908438634872434,0.0014608236420043386,0.92425,0.8455,0.596,2.1401023557017327
trial_0010_bs32_lr1e-03_ns300_ema0.999_acc1_hd384,32,0.001,300,0.999,1,384,63,0.39954919120669363,0.0014879433077745197,0.925,0.8432499999999999,0.5905,2.148321248295528
trial_0011_bs32_lr1e-03_ns500_ema0.999_acc1_hd256,32,0.001,500,0.999,1,256,63,0.3118638003617525,0.0002080724792423716,0.9244999999999999,0.843875,0.6105,2.1371612593450493
trial_0012_bs32_lr1e-03_ns500_ema0.999_acc1_hd384,32,0.001,500,0.999,1,384,63,0.3118458459377289,0.00021301993353667337,0.927,0.8412499999999999,0.618,2.145278102095405
trial_0013_bs32_lr2e-03_ns200_ema0.999_acc1_hd256,32,0.002,200,0.999,1,256,63,0.47815892660617826,0.002275269749705988,0.926875,0.862375,0.6555,2.1371612622480876
trial_0014_bs32_lr2e-03_ns200_ema0.999_acc1_hd384,32,0.002,200,0.999,1,384,63,0.4775228240787983,0.0023143922103203707,0.927125,0.8655,0.66,2.1322744416106985
trial_0015_bs32_lr2e-03_ns300_ema0.999_acc1_hd256,32,0.002,300,0.999,1,256,63,0.3983732624053955,0.0014333603060331934,0.9308750000000001,0.8503750000000001,0.603,2.1330754767651197
trial_0016_bs32_lr2e-03_ns300_ema0.999_acc1_hd384,32,0.002,300,0.999,1,384,63,0.3983548694252968,0.0014263595727583844,0.928625,0.856375,0.622,2.1286319289526636
trial_0017_bs32_lr2e-03_ns500_ema0.999_acc1_hd256,32,0.002,500,0.999,1,256,63,0.31056011022627356,0.00022143696045873185,0.93025,0.855375,0.6205,2.118918858885409
trial_0018_bs32_lr2e-03_ns500_ema0.999_acc1_hd384,32,0.002,500,0.999,1,384,63,0.3109347907155752,0.00023223118765686168,0.925375,0.857375,0.6365,2.1175430659196706
